Exercise Name	Exercise Number	Category Name	Category Number
alternatingDumbbellChestPressOnSwissBall	0	benchPress	0
barbellBenchPress	1	benchPress	0
barbellBoardBenchPress	2	benchPress	0
barbellFloorPress	3	benchPress	0
closeGripBarbellBenchPress	4	benchPress	0
declineDumbbellBenchPress	5	benchPress	0
dumbbellBenchPress	6	benchPress	0
dumbbellFloorPress	7	benchPress	0
inclineBarbellBenchPress	8	benchPress	0
inclineDumbbellBenchPress	9	benchPress	0
inclineSmithMachineBenchPress	10	benchPress	0
isometricBarbellBenchPress	11	benchPress	0
kettlebellChestPress	12	benchPress	0
neutralGripDumbbellBenchPress	13	benchPress	0
neutralGripDumbbellInclineBenchPress	14	benchPress	0
oneArmFloorPress	15	benchPress	0
weightedOneArmFloorPress	16	benchPress	0
partialLockout	17	benchPress	0
reverseGripBarbellBenchPress	18	benchPress	0
reverseGripInclineBenchPress	19	benchPress	0
singleArmCableChestPress	20	benchPress	0
singleArmDumbbellBenchPress	21	benchPress	0
smithMachineBenchPress	22	benchPress	0
swissBallDumbbellChestPress	23	benchPress	0
tripleStopBarbellBenchPress	24	benchPress	0
wideGripBarbellBenchPress	25	benchPress	0
alternatingDumbbellChestPress	26	benchPress	0
3WayCalfRaise	0	calfRaise	1
3WayWeightedCalfRaise	1	calfRaise	1
3WaySingleLegCalfRaise	2	calfRaise	1
3WayWeightedSingleLegCalfRaise	3	calfRaise	1
donkeyCalfRaise	4	calfRaise	1
weightedDonkeyCalfRaise	5	calfRaise	1
seatedCalfRaise	6	calfRaise	1
weightedSeatedCalfRaise	7	calfRaise	1
seatedDumbbellToeRaise	8	calfRaise	1
singleLegBentKneeCalfRaise	9	calfRaise	1
weightedSingleLegBentKneeCalfRaise	10	calfRaise	1
singleLegDeclinePushUp	11	calfRaise	1
singleLegDonkeyCalfRaise	12	calfRaise	1
weightedSingleLegDonkeyCalfRaise	13	calfRaise	1
singleLegHipRaiseWithKneeHold	14	calfRaise	1
singleLegStandingCalfRaise	15	calfRaise	1
singleLegStandingDumbbellCalfRaise	16	calfRaise	1
standingBarbellCalfRaise	17	calfRaise	1
standingCalfRaise	18	calfRaise	1
weightedStandingCalfRaise	19	calfRaise	1
standingDumbbellCalfRaise	20	calfRaise	1
bobAndWeaveCircle	0	cardio	2
weightedBobAndWeaveCircle	1	cardio	2
cardioCoreCrawl	2	cardio	2
weightedCardioCoreCrawl	3	cardio	2
doubleUnder	4	cardio	2
weightedDoubleUnder	5	cardio	2
jumpRope	6	cardio	2
weightedJumpRope	7	cardio	2
jumpRopeCrossover	8	cardio	2
weightedJumpRopeCrossover	9	cardio	2
jumpRopeJog	10	cardio	2
weightedJumpRopeJog	11	cardio	2
jumpingJacks	12	cardio	2
weightedJumpingJacks	13	cardio	2
skiMoguls	14	cardio	2
weightedSkiMoguls	15	cardio	2
splitJacks	16	cardio	2
weightedSplitJacks	17	cardio	2
squatJacks	18	cardio	2
weightedSquatJacks	19	cardio	2
tripleUnder	20	cardio	2
weightedTripleUnder	21	cardio	2
elliptical	22	cardio	2
spinning	23	cardio	2
polePaddleForwardWheelchair	24	cardio	2
polePaddleBackwardWheelchair	25	cardio	2
poleHandcycleForwardWheelchair	26	cardio	2
poleHandcycleBackwardWheelchair	27	cardio	2
poleRainbowWheelchair	28	cardio	2
doublePunchForwardWheelchair	29	cardio	2
doublePunchDownWheelchair	30	cardio	2
doublePunchSidewaysWheelchair	31	cardio	2
doublePunchUpWheelchair	32	cardio	2
sitSkiWheelchair	33	cardio	2
sittingJacksWheelchair	34	cardio	2
punchForwardWheelchair	35	cardio	2
punchDownWheelchair	36	cardio	2
punchSidewaysWheelchair	37	cardio	2
punchUpWheelchair	38	cardio	2
punchBagWheelchair	39	cardio	2
poleDdFfUuWheelchair	40	cardio	2
butterflyArmsWheelchair	41	cardio	2
punch	42	cardio	2
barHolds	0	carry	3
farmersWalk	1	carry	3
farmersWalkOnToes	2	carry	3
hexDumbbellHold	3	carry	3
overheadCarry	4	carry	3
dumbbellWaiterCarry	5	carry	3
farmersCarryWalkLunge	6	carry	3
farmersCarry	7	carry	3
farmersCarryOnToes	8	carry	3
cablePullThrough	0	chop	4
cableRotationalLift	1	chop	4
cableWoodchop	2	chop	4
crossChopToKnee	3	chop	4
weightedCrossChopToKnee	4	chop	4
dumbbellChop	5	chop	4
halfKneelingRotation	6	chop	4
weightedHalfKneelingRotation	7	chop	4
halfKneelingRotationalChop	8	chop	4
halfKneelingRotationalReverseChop	9	chop	4
halfKneelingStabilityChop	10	chop	4
halfKneelingStabilityReverseChop	11	chop	4
kneelingRotationalChop	12	chop	4
kneelingRotationalReverseChop	13	chop	4
kneelingStabilityChop	14	chop	4
kneelingWoodchopper	15	chop	4
